Term,Term-id,Term-frequency
fund,7170,2
practicin,3398,1
drew,5279,1
sure,42,94
debatingrt,2,1
cheer,7218,3
nasty,6436,2
wants,385,114
ljudi,4541,1
shytbut,7047,1
hearing,2190,14
pocos,8126,1
webmd,6678,1
intoxicated,8342,1
#rttt,458,1
fingers,2397,5
slots,1024,3
characters,6747,1
golden,5965,1
calm,4053,5
bumps,4371,1
collapsing,6097,1
call,1978,39
demands,3779,1
#ormarilyn,8083,1
paper,1329,3
breaks,2934,15
pundits,4235,1
ruling,416,2
currently,2228,6
interfere,4240,1
hanging,8079,1
#4more,2410,1
another,531,29
#swerve,6654,1
blahblahblah,2670,1
equality,7439,2
wierd,3585,1
#sorryimnotsorry,7316,1
full,124,31
finding,3561,3
glass,3841,2
#curren,6911,1
making,831,41
#actualmittquotes,7700,1
check,1216,22
chains,7352,1
ultimately,5892,2
dubbing,4750,1
came,740,24
asdfghjkl,2676,1
soft,8477,1
taxing,2427,2
acuerdo,8470,1
#humpda,8497,1
arranca,7299,1
facing,3419,1
twat,4914,2
0bama,4670,2
benefits,3354,1
thaang,6688,1
average,4697,3
watering,8220,1
bloodlike,7079,1
cozy,6137,1
jeopardy,4884,2
jimmy,5327,2
boaa,7470,1
covering,8325,1
#eff,5200,1
#imaloser,1169,1
johnny's,7394,1
wait,1016,61
obamayes,3485,1
oposers,6919,1
lesser,2797,2
socc,2725,2
drones,1966,2
kid,3599,7
#dorm,3967,1
heartbeats,7429,1
bush's,2879,6
#wheresyodollah,8454,1
began,1509,4
something,816,70
youcuz,2001,1
#skimm,5256,1
pussy,1953,6
black,556,93
asked,951,41
mittensexcept,4629,1
#daytonohio,7250,1
party's,1624,1
#fireobama,5129,2
convention,5238,1
douche,4924,3
redherrings,4713,1
euphemismsyou,6375,1
towns,6320,1
impress,6535,1
#classy,5833,2
owners,7083,1
mejor,4149,3
deserve,7627,3
exaggeration,4784,1
suoi,3965,1
birthers,4321,1
seeking,7543,1
abortions,4382,1
stein,139,4
supercilious,7387,1
wage,1638,1
joining,7857,1
donate,5790,1
#suburbs,5243,1
#yum,8356,1
2nd,2136,6
disliking,6470,1
nuevos,2961,1
#jobcreationbill,6150,1
embassy,4108,2
thou,7578,1
girlfriend,7925,1
proponer,1253,1
desinfectante,7260,1
boat,7532,1
soda,2357,1
canal,8371,1
amazing,1327,13
sudeikis,5297,1
pandermonium,5499,1
twinkies,7222,1
forever,2768,3
speeches,2556,3
stands,3278,2
background,4155,5
nothing,530,41
counselling,5808,1
anal,4576,1
comments,154,4
bound,3648,1
sumn,508,2
body,1094,14
irritating,6691,1
astronauts,6685,1
#laterfolks,4405,1
thru,1180,7
rocked,5333,1
#patience,6585,1
blablabla,3250,1
wana,2672,1
blacks,821,2
2nite's,6574,2
enough,3846,11
levitates,2576,1
