Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore
huge key ,2.131124,32.000000,14.000000,4.571429
president obama wants ,28.029213,2718.000000,1198.000000,6.662795
rebuild america ,4.612373,183.000000,93.000000,3.965517
focusing ,0.447492,2.000000,2.000000,1.000000
creating jobs ,7.009125,314.000000,133.000000,5.217073
middle class ,6.389744,133.000000,57.000000,4.674074
utilize ,0.000000,1.000000,1.000000,1.000000
s ,1.831999,38.000000,20.000000,1.900000
natural resources ,1.108144,13.000000,6.000000,4.500000
romney saying ,31.183310,4329.000000,1513.000000,4.761971
president obama said ,27.946372,2828.000000,1219.000000,7.394679
different way ,4.805647,126.000000,77.000000,3.450980
even saying ,5.175430,325.000000,150.000000,4.247948
tv ads say ,5.899806,320.000000,168.000000,5.956328
#fnrdebate #jobs #mittromney knows ,4.952544,151.000000,61.000000,11.563737
save business ,6.467899,347.000000,106.000000,5.298077
restore ,1.172076,24.000000,15.000000,1.600000
vitality ,1.813564,18.000000,15.000000,1.200000
get america running ,13.035639,644.000000,289.000000,6.562885
right path ,5.508328,239.000000,87.000000,4.699761
#ndaaruling #denverdebate y ,5.265645,104.000000,51.000000,5.903100
outraged ,0.000000,1.000000,1.000000,1.000000
ruling ,0.945094,3.000000,2.000000,1.500000
keep #ndaa indefinite detention clause ,3.821410,81.000000,27.000000,20.619048
effectt ,0.000000,1.000000,1.000000,1.000000
retweet ,0.327804,3.000000,2.000000,1.500000
watching ,3.296717,158.000000,107.000000,1.476636
debate ,7.669656,432.000000,239.000000,1.807531
ready ,1.354902,27.000000,17.000000,1.588235
watch #obama2012 kick ass ,12.373273,447.000000,183.000000,10.628411
lol ,2.869732,129.000000,60.000000,2.150000
president obama looks young ,31.046120,3066.000000,1272.000000,11.302942
fresh ,0.656920,4.000000,3.000000,1.333333
smoove ,0.000000,2.000000,2.000000,1.000000
face ,3.216509,175.000000,73.000000,2.397260
#obama #presidentialdebate ,7.354912,358.000000,154.000000,4.491481
get ,7.505716,446.000000,190.000000,2.347368
watch obama eat mitt ,44.502498,5564.000000,2011.000000,9.007109
watching ,3.296717,158.000000,107.000000,1.476636
complex ,0.577925,1.000000,1.000000,1.000000
see ,2.616374,139.000000,81.000000,1.716049
romney bumper stickers ,28.771610,4220.000000,1453.000000,8.404828
rich ppl stay giving ,7.015687,185.000000,94.000000,9.327006
romney looks scared ,33.981984,4691.000000,1591.000000,8.160710
death ,0.607492,8.000000,5.000000,1.600000
look seamus ,2.754470,239.000000,102.000000,4.346535
car ,0.706369,15.000000,7.000000,2.142857
people keep talking ,9.147105,476.000000,222.000000,6.760808
obama romney ,44.175895,5921.000000,2201.000000,5.180460
say throw ,4.092034,289.000000,146.000000,3.658009
election ,2.072875,41.000000,27.000000,1.518519
president ,9.492084,864.000000,378.000000,2.285714
smart man ,3.490862,151.000000,72.000000,4.364516
even fuck ,4.820347,403.000000,192.000000,4.247948
politics ,2.052953,46.000000,33.000000,1.393939
fuck ,2.334108,195.000000,105.000000,1.857143
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
mitt trying told hold back ,32.527257,3987.000000,1291.000000,14.334561
laughter ,0.583803,2.000000,2.000000,1.000000
obama talkin like ,29.139070,3015.000000,1189.000000,7.643655
republican ,0.956999,18.000000,10.000000,1.800000
times ,2.404783,48.000000,18.000000,2.666667
comes ,1.205172,45.000000,23.000000,1.956522
sale items ,1.279596,9.000000,4.000000,4.500000
trust ,0.780815,23.000000,13.000000,1.769231
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
looks like ,17.206082,1757.000000,566.000000,6.448905
mayor ,1.118688,12.000000,11.000000,1.090909
whoville ,0.767472,5.000000,5.000000,1.000000
watching ,3.296717,158.000000,107.000000,1.476636
debate ,7.669656,432.000000,239.000000,1.807531
daddy ,0.866696,14.000000,7.000000,2.000000
smart ,1.282732,23.000000,10.000000,2.300000
