although,6126,3,IN,
potusmrs,2404,1,
practicing,2364,3,VBG,
republicano,6293,1,NN,
hacky,2501,1,JJ,
drink,1858,21,VB,VBP,NN,
appeal,1771,4,NN,VB,
republicans,2210,15,NNS,NNPS,
#bo2012,620,1,
dumbing,4970,1,VBG,
spank,3377,1,VB,
throat,3983,4,NN,
cheat,969,19,VBP,VB,
terribly,4667,1,RB,
republican,514,31,NN,JJ,NNP,
#yes,1034,1,NNP,
isn,5623,1,NNP,
acknowledging,3707,2,VBG,
soul,1661,5,NN,
#infrastructure,3825,2,JJ,SYM,
prez,201,14,JJ,NN,NNP,
suggest,946,3,VBP,
discussing,1057,6,VBG,
pres,333,37,NNP,NNPS,NNS,VBZ,
soup,1019,1,NN,
calls,2038,8,VBZ,
warren,6724,2,NNP,
#heisanidiot,3984,1,JJ,
prep,6677,2,NNP,NN,
commence,579,2,NNP,VB,
terrible,1910,8,JJ,
favor,2409,5,NN,NNP,VB,
ite,6821,1,NN,
boxing,1394,2,NN,
crickets,5589,1,NNS,
advocate,2332,1,VB,
cheap,1626,1,JJ,
indicates,4877,1,VBZ,
pindo,6848,1,
calle,6811,1,FW,
andor,5924,1,
nuked,7265,1,VBD,
press,6886,1,NN,
sort,2818,3,NN,
moire,8110,1,JJ,
minimum,6771,1,NN,
hacia,2219,2,FW,
expensive,1030,2,JJ,
ivy,2838,2,NNP,
hasnt,3784,2,VBZ,VB,
iron,7065,2,NNP,VB,
pimpbut,5142,1,
graduation,5072,1,NN,
absolute,4761,1,JJ,
#electionclass,59,4,NN,
sensitive,1874,1,JJ,
candidates,340,59,NNS,NNPS,
dismissed,5314,1,VBD,
#shishkabob,8353,1,NN,
contrary,4625,1,JJ,
rates,1928,9,NNS,
graduating,4363,2,VBG,NN,
rawest,8357,1,JJS,
medium,7751,1,NN,
michigan,7724,1,NNP,
truthometer,6446,1,
facial,580,6,JJ,NNP,
invested,7591,1,VBD,
beeni,7377,1,
#keepanopenmind,7051,1,NNP,
brotha,4588,1,NN,
rated,7638,2,VBN,NNP,
ignorante,2972,1,FW,
ive,5358,4,NNP,
elementary,6660,1,JJ,
oneyear,5955,1,
reasonableness,4483,1,NN,
cartoon,3009,1,NN,
shoved,5967,2,VBD,
must,1342,40,MD,
aheadlooking,3376,1,
soot,1450,1,NN,
recycles,5975,1,VBZ,
friends,589,12,NNS,NNPS,
curious,1576,4,NNP,JJ,
cars,773,1,NNS,
care,186,53,VB,NN,VBP,NNP,
card,376,7,NN,
bho's,6890,1,
#fuckthisguy,4133,1,NN,
mute,4375,5,JJ,VB,
xmen,3275,1,
ion,1568,4,NN,
agreed,3056,8,VBD,NNP,
freaks,5988,1,NNS,
spare,6510,1,VB,
cart,7712,1,NN,
excommunicate,3699,1,VB,
stimulus#,3412,1,
filmed,8394,1,VBN,
cast,4577,1,VB,
inflatable,7287,1,JJ,
batman#fail,8388,1,
cash,8466,2,NN,
case,2341,8,NN,
thumb,5492,2,NN,
extreamly,6818,1,NNP,
song,2079,6,NN,NNP,
walking,7550,1,VBG,
irs,7197,1,NNP,
dickish,2295,1,JJ,
emboldened,4029,1,VBN,
vasy,7758,1,
togas,5018,1,NNS,
singapore,3193,1,NNP,
44th,5735,1,JJ,
cats,3362,1,NNS,
tvfirst,1574,6,
ish,808,1,NN,
commentary,2718,2,NN,
legalize,2585,2,VB,
drill,1549,2,VB,
agrees,2868,3,VBZ,
pague,3946,1,NN,
irks,16,4,VBZ,
shuddering,7414,1,VBG,
advantages,4086,3,NNS,
hahahah,7333,1,NNP,
wrestling,5493,1,NN,
strength,5307,2,NN,
2morrow,4026,1,NN,
recycled,7590,1,JJ,
#ftw,3422,1,NN,
sooo,2426,1,NNP,RB,
helped,2835,7,VBN,VBD,
#pdamerica,6023,1,NNP,
soon,3650,6,RB,
outfits,6503,2,NNS,NN,
unsurprisingly,8205,1,RB,
#cronyism,5250,1,NN,
pipeline,1693,7,NN,NNP,
sons,6683,2,NNS,
masturbator,2739,1,NN,
#gopwatchparty,4186,5,NN,NNP,
giant,5034,2,JJ,
everything,1232,38,NN,NNP,
feels,2369,5,VBZ,
#prezdebate,3222,1,IN,
zero,6441,2,NN,CD,
semiotics,5685,1,NNS,
draw,7239,1,NN,
championed,7744,1,VBN,
oligarca,6292,1,FW,
solo,6744,2,NN,NNP,
drive,1110,4,VB,VBP,
shotgun,3871,1,NN,
slows,8391,1,VBZ,
working,133,17,VBG,
sold,2593,3,VBN,VBD,
compelling,8062,1,JJ,
leaning,4220,1,VBG,
autos,5637,1,NNS,
punditry,6644,1,NN,
disrespecting,4334,1,VBG,
stalin,7001,1,NNP,
jets,5056,1,NNS,
matters,2298,3,NNS,VBZ,
#potus,477,10,NN,NNS,NNP,VBZ,
cans,3339,2,NNS,
visual,8021,1,JJ,
negros,5694,1,NNP,
cant,837,25,JJ,VBP,FW,NN,VBD,
#getoutandvote,7499,1,NN,
jeta,6291,1,FW,
baddest,4947,1,JJS,
proposing,7035,1,VBG,
crackin,6813,2,NN,VBG,
ranking,36,1,JJ,
culvers,1659,1,NNP,
dance,2166,3,NN,VB,
culture,3370,1,NN,
stream,1939,11,NN,NNP,
molester,7822,1,NN,
obeezy,5501,3,NNP,NN,
lmaoooo,5013,2,NNP,
#dontcare,2995,1,JJ,
losers,6969,1,NNS,
shuttered,7688,1,VBD,
prof,4311,1,NN,
revert,6240,1,VBP,
#fuobama,6640,1,NN,
#hatepolitics,892,1,NNS,
annually,2026,1,RB,
presidencial,4546,5,NNP,JJ,
prob,2671,4,NN,VB,JJ,
jerk,3822,2,NNP,
escogi,8468,1,FW,
hallmark,2008,1,NN,
remind,3283,5,VB,VBP,
verbal,7811,1,JJ,
shhhwe've,3612,1,
fixing,55,4,VBG,
brother,5416,4,NN,
postcolor,4990,1,
#ibadan,8260,1,NNP,
iyi,8090,2,NN,
liblies,6854,1,NNS,
#stoptalking,2996,1,VBG,
posts,1136,3,NNS,
sawwas,5774,1,
#passion,6894,1,NN,
sources,3862,11,NNS,
welfareu,3538,1,
debateits,4931,1,
contrast,2721,2,NN,
funk,7425,1,NN,
lunches,8111,1,NNS,
startups,2719,2,NNS,
butchering,7171,1,VBG,
fund,7170,2,VB,NN,
drew,5279,1,VBD,
practicin,3398,1,NN,
sure,42,94,JJ,RB,NNP,
debatingrt,2,1,
cheer,7218,3,VB,NN,
nasty,6436,2,JJ,
wants,385,114,VBZ,NNS,
ljudi,4541,1,FW,
hearing,2190,14,VBG,NN,
shytbut,7047,1,
webmd,6678,1,NNP,
pocos,8126,1,NNS,
intoxicated,8342,1,VBN,
#rttt,458,1,NN,
slots,1024,3,NNS,
fingers,2397,5,NNS,
golden,5965,1,JJ,
characters,6747,1,NNS,
bumps,4371,1,NNS,
calm,4053,5,JJ,
call,1978,39,VBP,VB,NN,JJ,NNP,
collapsing,6097,1,VBG,
demands,3779,1,VBZ,
#ormarilyn,8083,1,NN,
breaks,2934,15,NNS,VBZ,
paper,1329,3,NN,
pundits,4235,1,NNS,
ruling,416,2,NN,VBG,
currently,2228,6,RB,NNP,
interfere,4240,1,VB,
#4more,2410,1,
hanging,8079,1,VBG,
another,531,29,DT,
blahblahblah,2670,1,NN,
#swerve,6654,1,NN,
wierd,3585,1,JJ,
equality,7439,2,NNP,NN,
full,124,31,JJ,NNP,
#sorryimnotsorry,7316,1,JJ,
glass,3841,2,NNP,NN,
finding,3561,3,VBG,
making,831,41,VBG,
#curren,6911,1,NNS,
#actualmittquotes,7700,1,NNS,
check,1216,22,VB,VBP,NN,
ultimately,5892,2,RB,
chains,7352,1,NNS,
dubbing,4750,1,VBG,
came,740,24,VBD,
asdfghjkl,2676,1,NN,
soft,8477,1,JJ,
taxing,2427,2,VBG,
acuerdo,8470,1,FW,
#humpda,8497,1,NN,
twat,4914,2,NN,
facing,3419,1,VBG,
arranca,7299,1,NN,
0bama,4670,2,NN,
benefits,3354,1,NNS,
thaang,6688,1,NN,
average,4697,3,JJ,
watering,8220,1,VBG,
cozy,6137,1,JJ,
bloodlike,7079,1,
jimmy,5327,2,NNP,
jeopardy,4884,2,NNP,
boaa,7470,1,NN,
#eff,5200,1,NN,
covering,8325,1,VBG,
#imaloser,1169,1,NN,
wait,1016,61,VBP,NN,VB,
johnny's,7394,1,
obamayes,3485,1,
lesser,2797,2,JJR,
oposers,6919,1,NNS,
#dorm,3967,1,JJ,
kid,3599,7,NN,
drones,1966,2,NNS,
socc,2725,2,NN,
bush's,2879,6,
heartbeats,7429,1,NNS,
#wheresyodollah,8454,1,NNP,
began,1509,4,VBD,
something,816,70,NN,NNP,
#skimm,5256,1,NNP,
youcuz,2001,1,
black,556,93,NNP,JJ,
pussy,1953,6,NN,
mittensexcept,4629,1,
asked,951,41,VBN,VBD,
party's,1624,1,
#daytonohio,7250,1,NNP,
#fireobama,5129,2,VB,NNP,
convention,5238,1,NN,
douche,4924,3,NN,
redherrings,4713,1,
euphemismsyou,6375,1,
towns,6320,1,NNS,
impress,6535,1,VB,
#classy,5833,2,JJ,
owners,7083,1,NNS,
mejor,4149,3,FW,NN,
deserve,7627,3,VBP,
exaggeration,4784,1,NN,
suoi,3965,1,FW,
birthers,4321,1,NNS,
seeking,7543,1,VBG,
abortions,4382,1,NNS,
stein,139,4,NNP,
wage,1638,1,NN,
supercilious,7387,1,JJ,
donate,5790,1,VBP,
joining,7857,1,VBG,
#suburbs,5243,1,NNS,
2nd,2136,6,JJ,
#yum,8356,1,NN,
disliking,6470,1,VBG,
nuevos,2961,1,FW,
embassy,4108,2,NN,
#jobcreationbill,6150,1,NN,
thou,7578,1,NNP,
girlfriend,7925,1,NN,
proponer,1253,1,FW,
desinfectante,7260,1,FW,
soda,2357,1,NN,
boat,7532,1,NN,
canal,8371,1,NNP,
amazing,1327,13,NNP,JJ,
sudeikis,5297,1,NNP,
pandermonium,5499,1,NN,
forever,2768,3,RB,
twinkies,7222,1,NNS,
speeches,2556,3,NNS,
stands,3278,2,VBZ,
background,4155,5,NN,
nothing,530,41,NN,
counselling,5808,1,NN,
anal,4576,1,NNP,
bound,3648,1,VBN,
comments,154,4,NNS,
sumn,508,2,NN,
body,1094,14,NN,NNP,
#laterfolks,4405,1,NNS,
astronauts,6685,1,NNS,
irritating,6691,1,JJ,
rocked,5333,1,VBD,
thru,1180,7,NN,JJ,IN,VBP,FW,
#patience,6585,1,NN,
blablabla,3250,1,NN,
blacks,821,2,NNS,NNPS,
wana,2672,1,NN,
2nite's,6574,2,
enough,3846,11,RB,JJ,
levitates,2576,1,VBZ,
hussy,5272,1,NN,
uhhhhhhhhh,3169,2,JJ,
regrowing,2710,1,VBG,
ken,1507,3,NN,NNP,
#again,6218,2,NNP,NN,
spiting,7963,1,VBG,
universitas,1755,1,NNP,
robbing,7951,1,VBG,
