Word1,Word2,Likilihood Ratio,Frequency,Mean Distance,StandardDeviation,Variance
anyone,#obamanation,13.837352044086117,1,2.0,0.0,0.0
idgaf,anyone,12.791321692283077,1,2.0,0.0,0.0
hurting,#denverdebate,14.111919235604454,2,1.5,0.7071067811865476,0.5
sure,dat,9.849165806373158,1,3.0,0.0,0.0
use,bush,8.242299510502306,1,1.0,0.0,0.0
bloods,rooting,16.29689530769746,1,2.0,0.0,0.0
costs,class,7.9006438697600885,1,3.0,0.0,0.0
bummed,watch,9.319392836233689,1,3.0,0.0,0.0
cute,wit,12.510381213750748,1,1.0,0.0,0.0
letting,speak,12.368538274170419,1,2.0,0.0,0.0
para,te,14.374584822506066,1,2.0,0.0,0.0
wit,blue,10.923399385297444,1,3.0,0.0,0.0
ideas,come,8.48845374164111,1,2.0,0.0,0.0
keep,us,73.94794675706373,11,0.8181818181818182,0.6030226891555273,0.36363636363636365
party,set,10.166750181056386,1,2.0,0.0,0.0
thats,usa,10.112009164325883,1,2.0,0.0,0.0
prove,someone,9.948245763205307,1,3.0,0.0,0.0
boost,production,13.891614394966268,1,2.0,0.0,0.0
celebrating,chicago,10.266604825608312,1,2.0,0.0,0.0
celebrating,w,8.408227364692266,1,3.0,0.0,0.0
whose,unemployment,11.689524580578421,1,1.0,0.0,0.0
new,buzz,10.397180209046319,1,1.0,0.0,0.0
michelle's,wedding,43.08578149213827,4,2.0,0.0,0.0
campaign,tomorrow,9.26023964330858,1,1.0,0.0,0.0
happen,even,8.590857754554719,1,1.0,0.0,0.0
big,actual,8.25691756878922,1,3.0,0.0,0.0
court,oct,17.343333359188808,1,1.0,0.0,0.0
court,16th,17.343333359188808,1,2.0,0.0,0.0
right,holler,9.498594538064602,1,3.0,0.0,0.0
wishes,potus,8.213557551153428,1,1.0,0.0,0.0
center,s,12.768778478292521,1,1.0,0.0,0.0
potus,similar,10.911059489457273,1,2.0,0.0,0.0
path,offered,12.019841728737603,1,1.0,0.0,0.0
remarks,touch,10.682535245620883,1,2.0,0.0,0.0
done,#romneyryan2012,13.44345323561015,2,2.0,0.0,0.0
done,#obamaisntworking,11.720054552630366,1,3.0,0.0,0.0
good,ideas,12.313219128513765,2,1.0,0.0,0.0
talking,#forward2012,8.76225391949233,1,1.0,0.0,0.0
start,#presidentialdebate,13.58221623273812,4,2.5,1.0,1.0
personal,connect,12.281614400583969,1,3.0,0.0,0.0
personal,level,11.236166621128419,1,1.0,0.0,0.0
funny,wore,10.870642124638309,1,3.0,0.0,0.0
watch,#presidentialdebate,22.991666270609358,7,1.8571428571428572,0.3779644730092272,0.14285714285714285
focus,education,14.167949098198221,2,2.0,0.0,0.0
now,explains,9.110422213401499,1,2.0,0.0,0.0
stay,potus,9.670733575086274,1,3.0,0.0,0.0
education,make,13.814687361462575,3,1.6666666666666667,0.5773502691896257,0.3333333333333333
stay,open,9.803816275894462,1,1.0,0.0,0.0
fight,#presidentialdebate,21.47048593382496,4,2.25,0.957427107756338,0.9166666666666665
personal,stories,86.04326094231828,7,1.0,0.0,0.0
brings,marriage,10.137894671756897,1,3.0,0.0,0.0
w,detroit,12.510381213752215,1,1.0,0.0,0.0
progress,schools,11.002927536408293,1,3.0,0.0,0.0
looks,af,8.635070976717593,1,2.0,0.0,0.0
tonight,#denverdebate,13.050508711447947,5,1.4,0.5477225575051661,0.3
creation,key,11.741836865898065,1,3.0,0.0,0.0
blue,oh,13.720036172530286,2,1.5,0.7071067811865476,0.5
big,dancing,10.452482002513833,1,2.0,0.0,0.0
path,#denverdebate,8.627813797282982,2,2.5,0.7071067811865476,0.5
change,reduce,11.184763972708765,1,3.0,0.0,0.0
bit,bit,9.127373789582236,1,3.0,0.0,0.0
high,knows,9.65166283199602,1,3.0,0.0,0.0
confident,obama,15.302532673539424,3,0.6666666666666666,2.3094010767585034,5.333333333333334
#denverdebate,second,11.325690444746897,2,0.5,2.1213203435596424,4.5
issues,interested,11.865960003684393,1,3.0,0.0,0.0
shit,says,11.167188388625618,2,2.5,0.7071067811865476,0.5
jim,romney,10.220545442792599,3,1.0,2.6457513110645907,7.0
remember,original,12.568756447140487,1,3.0,0.0,0.0
nigga,hand,8.242299510502306,1,1.0,0.0,0.0
gone,run,12.112191494404094,1,1.0,0.0,0.0
time,go,11.928376302430365,3,0.6666666666666667,2.3094010767585034,5.333333333333334
class,#debatefest,10.122637583505597,1,1.0,0.0,0.0
lets,talk,13.682047541207737,2,1.0,0.0,0.0
ta,less,13.065639071963485,1,2.0,0.0,0.0
wonder,used,7.947186990333478,1,3.0,0.0,0.0
#essencedebate,#obama2012,19.05479583129498,2,2.5,0.7071067811865476,0.5
wore,colored,13.328437976593499,1,2.0,0.0,0.0
union,program,11.205070084273942,1,1.0,0.0,0.0
time,said,12.176009384446616,3,2.6666666666666665,0.5773502691896257,0.33333333333333326
talk,ill,8.592024852561607,1,2.0,0.0,0.0
personal,story,69.22442284262789,6,0.5,1.7606816861659011,3.1000000000000005
mitt's,empathy,12.568756447130099,1,3.0,0.0,0.0
worn,tie,20.63931637596424,2,3.0,0.0,0.0
improve,#education,10.257515787657788,1,2.0,0.0,0.0
play,nigga,9.010516641165367,1,2.0,0.0,0.0
