Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore,ActualTweet
way president obama takes time ,21.191708,3416,1405,11.427664,
president obama tie screams ,21.182881,3352,1353,11.403463,
mitt romney everytime ,21.171125,3550,1186,9.03579,
mitt romney mentions ,21.148565,3552,1188,8.53579,
mitt romney starts ,21.094493,3605,1209,8.553031,
mitt romney mr ,21.093518,3629,1233,7.865979,
mitt romney comes ,21.072905,3556,1194,7.750076,
lets go president obama ,21.016733,3382,1370,10.277176,
obama happy anniversary ,21.010443,3100,1223,7.649513,
president obama just wished ,20.987347,3715,1487,9.669216,
mitt giving obama ,20.986222,3794,1360,7.82736,
see president obama puts ,20.981929,3290,1344,8.820036,
mitt romney high ,20.979492,3566,1197,8.03579,
mitt romney robot ,20.978919,3540,1184,8.03579,
hate mitt romney ,20.977222,3554,1191,8.03579,
debating mitt romney ,20.959255,3545,1186,8.202457,
mitt romney spending ,20.950161,3568,1200,7.83579,
watch president obama ,20.945133,3350,1361,7.149704,
mitt romney told ,20.940533,3558,1195,7.769123,
romantisch avondje met mitt romney ,20.930108,3581,1194,19.28579,
romney always looks like ,20.901387,2426,873,11.863929,
president obama looks nervous ,20.857808,3345,1341,10.130086,
wait mitt romney ,20.836003,3560,1200,7.43579,
president obama speaking actual facts ,20.830095,3250,1317,11.965049,
mitt romney loves ,20.807921,3545,1186,8.202457,
support mitt romney ,20.803374,3567,1195,8.369123,
happy 20th anniversary barack michelle ,20.749188,1615,605,14.029591,
comienza el primer debate presidencial entre #obama y #romney ,20.691856,1543,580,51.041649,
mitt romney played ,20.663473,3536,1182,8.03579,
mitt romney mess ,20.639905,3544,1187,7.750076,
mitt romney face ,20.639845,3546,1188,7.78579,
mitt romney thinks ,20.632667,3545,1186,8.202457,
mitt romney writing ,20.618,3548,1189,7.813568,
mitt romney talks ,20.605983,3554,1192,7.869123,
romney wearing red tie ,20.599812,2241,811,9.612472,
mitt romney wins ,20.595356,3554,1192,7.869123,
mitt romney goes ,20.59011,3568,1195,8.43579,
idea mitt romney ,20.537799,3555,1187,9.321504,
mitt romney bc ,20.527837,3544,1186,8.03579,
mitt romney begins ,20.50365,3550,1188,8.28579,
bet mitt romney ,20.493446,3548,1192,7.369123,
lowkey mitt romney ,20.483357,3541,1182,10.53579,
obama well first lets talk ,20.463142,2852,1128,12.163467,
pretty good romney joke ,20.446506,2227,815,9.895274,
find mitt romney ,20.418407,3551,1189,8.146901,
obama mitt ramen noodles ,20.409843,3783,1353,12.150437,
mitt romney's american flag pin ,20.403603,2290,698,17.209257,
president obama even began ,20.362647,3247,1315,11.431716,
maar mitt romney ,20.362441,3535,1181,9.03579,
dear mitt romney ,20.337668,3556,1188,9.03579,
president obama know ,20.325698,3285,1354,6.495883,
know president obama ,20.325698,3285,1354,6.495883,
um mitt romney ,20.320531,3547,1185,9.03579,
mitt romney hit ,20.311874,3541,1184,8.28579,
supporting mitt romney ,20.288806,3540,1183,8.702457,
mitt romney owned ,20.275564,3550,1185,9.63579,
president obama said ,20.268251,3340,1345,7.551034,
#debate2012 #denverdebate obama rehashes tired lines ,20.265869,2322,907,19.864683,
backdrop mitt romney ,20.25435,3538,1184,7.53579,
romney says jobs issue ,20.248961,2299,847,9.851495,
bullshit mitt romney ,20.194077,3539,1184,7.78579,
president obama began speaking wtf ,20.191656,3224,1305,13.098383,
mitt romney fails ,20.180253,3536,1182,8.03579,
barack obama begin #denverdebate ,20.176916,2612,996,10.398455,
keep tuition low obama ,20.173679,2630,999,11.703281,
mitt romney representing nortes ,20.167048,3541,1183,12.53579,
aww mitt romney ,20.162365,3549,1188,8.16079,
#debates go obama ,20.16072,2722,1108,6.795949,
freaking stand mitt romney ,20.146381,3548,1189,11.53579,
friendly reminder mitt romney ,20.134773,3547,1185,12.03579,
mitt romney become ,20.109172,3537,1182,8.53579,
obama's blue tie romney's red tie ,20.095468,977,344,13.683065,
mitt romney planned ,20.076477,3538,1183,8.03579,
obama mentioned corporate tax rate ,20.07176,2397,919,14.970668,
president obama already ,20.04255,3244,1313,7.251569,
yo mitt romney ,20.04102,3539,1184,7.78579,
mitt romney racist ,19.992686,3538,1183,8.03579,
president obama let ,19.978917,3243,1312,7.293458,
chilllll son lmaooo mitt romney ,19.972626,3549,1185,18.369123,
mitt romney orange ,19.972449,3537,1182,8.53579,
prevent mitt romney ,19.965909,3536,1182,8.03579,
mitt romneys hair looks like ,19.946451,2171,724,14.275333,
president obama looks ,19.921666,3313,1325,8.130086,
president obama first ,19.917084,3652,1470,7.429425,
jobs obama talking ,19.90665,2490,1007,6.566615,
shorter romney #debates opener rhetoric ,19.898915,2379,885,14.006675,
president obama going ,19.882978,3308,1400,6.067563,
first thing obama just ,19.875569,3240,1260,10.13718,
opening statements already see mitt telling ,19.780181,1948,650,16.702811,
live blog barack obama ,19.760877,2665,996,14.691535,
really president obama ,19.717194,3298,1339,7.119216,
mitt romney ,19.69988,3532,1180,6.03579,
mitt romney blague sur ,19.69988,3540,1182,14.03579,
sir mitt romney ,19.69988,3535,1181,9.03579,
mitt romney tabling ,19.69988,3535,1181,9.03579,
dubbing mitt romney ,19.69988,3535,1181,9.03579,
mitt romney kills ,19.69988,3535,1181,9.03579,
mitt romney regarding ,19.69988,3535,1181,9.03579,
mitt romney attempted ,19.69988,3535,1181,9.03579,
jump mitt romney ,19.69988,3535,1181,9.03579,
businessman mitt romney ,19.69988,3535,1181,9.03579,
empower mitt romney ,19.69988,3535,1181,9.03579,
mitt romney blew ,19.69988,3535,1181,9.03579,
wife michelle obama ,19.672807,2479,1012,6.465839,
say president obama ,19.671151,3302,1343,7.041091,
governor romney looks presidential ,19.641764,2444,862,11.315701,
president obama makes ,19.633935,3212,1301,7.096489,
#debates nervous sounding obama sets ,19.571734,2631,1061,14.721322,
president obama go ,19.522289,3302,1346,6.943843,
